"Municpio";"peso Menos de 500g";"peso 500 a 999g";"peso 1000 a 1499 g";"peso 1500 a 2499 g";"peso 2500 a 2999 g";"peso 3000 a 3999 g";"peso 4000g e mais";"peso Ignorado";"Total"
"350925 CAJATI";-;-;-;-;1;1;-;-;2
"350990 CANANEIA";-;-;-;-;-;3;-;-;3
"351480 ELDORADO";-;-;-;1;2;3;-;-;6
"352030 IGUAPE";-;-;-;2;7;4;-;-;13
"352042 ILHA COMPRIDA";-;-;-;1;1;3;-;-;5
"352330 ITARIRI";-;-;-;1;3;3;-;-;7
"352460 JACUPIRANGA";-;-;-;-;1;1;-;-;2
"352610 JUQUIA";-;2;-;3;3;3;-;-;11
"352990 MIRACATU";-;-;-;2;1;5;1;-;9
"353620 PARIQUERA-ACU";2;14;18;137;356;1156;145;-;1828
"353720 PEDRO DE TOLEDO";-;-;-;1;-;1;-;1;3
"354260 REGISTRO";1;-;-;45;319;1146;126;-;1637
"355180 SETE BARRAS";-;-;-;-;1;1;-;-;2
"Total";3;16;18;193;695;2330;272;1;3528
 